Date	Order ID	SKU	Transaction type	Payment Type	Payment Detail	Amount	Quantity	Product Title
Oct 8, 2018	112-3616917-6557005	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-3.30		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	112-3616917-6557005	3W-BPE9-F9IR	Order Payment	Amazon fees	Sales Tax Service Fee	$-0.05		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	112-3616917-6557005	3W-BPE9-F9IR	Order Payment	Product charges		$22.00	2	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	112-3616917-6557005	3W-BPE9-F9IR	Order Payment	Other	Product Tax	$1.82		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-4968037-9459423	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-4968037-9459423	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-4968037-9459423	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-7432887-1678621	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-7432887-1678621	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-7432887-1678621	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	111-7432887-1678621	3W-BPE9-F9IR	Order Payment	Other	Product Tax	$0.95		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	112-5923402-5461040	YL-ODHG-X4FA	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	112-5923402-5461040	YL-ODHG-X4FA	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.40		Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	112-5923402-5461040	YL-ODHG-X4FA	Order Payment	Product charges		$15.99	1	Mini Thin 2 Way Action 24 Ct. Bottle Hi Speed Energy, Enhanced Stamina
Oct 8, 2018	111-7002107-2785063	99-XD7Z-BADC	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-4.71		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	111-7002107-2785063	99-XD7Z-BADC	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.95		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	111-7002107-2785063	99-XD7Z-BADC	Order Payment	Product charges		$12.97	1	Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	111-7002107-2785063	99-XD7Z-BADC	Order Payment	Other	Product Tax	$0.78		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	114-1009474-3347443	99-XD7Z-BADC	Refund	Amazon fees	Referral Fee on Item Price	$1.95		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	114-1009474-3347443	99-XD7Z-BADC	Refund	Amazon fees	Refund Administration Fee	$-0.39		Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	114-1009474-3347443	99-XD7Z-BADC	Refund	Product charges		$-12.97	1	Casabella Rectangular Storage Caddy, 4 gallons
Oct 8, 2018	113-8889103-7905825	3W-BPE9-F9IR	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-8889103-7905825	3W-BPE9-F9IR	Order Payment	Amazon fees	Gift Wrap Chargeback	$-3.49		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-8889103-7905825	3W-BPE9-F9IR	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.65		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-8889103-7905825	3W-BPE9-F9IR	Order Payment	Product charges		$11.00	1	JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 8, 2018	113-8889103-7905825	3W-BPE9-F9IR	Order Payment	Other	Gift wrap	$3.49		JoJo Siwa Brite Beatz Toothbrush Playing Music & Light Up
Oct 7, 2018	114-4798272-4992260	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	114-4798272-4992260	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.70		Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	114-4798272-4992260	SN-Z9YH-LPU6	Order Payment	Product charges		$17.99	1	Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	113-5424732-0301831	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-5424732-0301831	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-5424732-0301831	AL-4O0H-7PPZ	Order Payment	Amazon fees	Shipping Chargeback	$-3.99		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-5424732-0301831	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-5424732-0301831	AL-4O0H-7PPZ	Order Payment	Other	Shipping	$3.99		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	112-8111266-2564206	SN-Z9YH-LPU6	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	112-8111266-2564206	SN-Z9YH-LPU6	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.70		Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	112-8111266-2564206	SN-Z9YH-LPU6	Order Payment	Product charges		$17.99	1	Exederm Shampoo, 8 fl. Ounce
Oct 7, 2018	114-1113372-7577004	68-7E9G-AY61	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-2.41		Playtex CleanCuisine Disposable Food Prep Gloves - 30 Count - Large
Oct 7, 2018	114-1113372-7577004	68-7E9G-AY61	Order Payment	Amazon fees	Referral Fee on Item Price	$-1.24		Playtex CleanCuisine Disposable Food Prep Gloves - 30 Count - Large
Oct 7, 2018	114-1113372-7577004	68-7E9G-AY61	Order Payment	Product charges		$8.24	1	Playtex CleanCuisine Disposable Food Prep Gloves - 30 Count - Large
Oct 7, 2018	113-9902653-5145845	AL-4O0H-7PPZ	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-3.19		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-9902653-5145845	AL-4O0H-7PPZ	Order Payment	Amazon fees	Referral Fee on Item Price	$-2.65		Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-9902653-5145845	AL-4O0H-7PPZ	Order Payment	Product charges		$17.66	1	Raid Jumbo Fly Stick (Pack of 3)
Oct 7, 2018	113-3474271-1073030	99-XD7Z-BADC	Order Payment	Amazon fees	FBA Pick & Pack Fee	$-4.71		Casabella Rectangular Storage Caddy, 4 gallons
